asset_name_raw,asset_type,lawmaker,chamber,trade_date,source,source_doc_id
Northwest Natural gas Company,equity,Earl Blumenauer,House,2014-03-21,house,20000710
Northwest Natural gas Company,equity,Earl Blumenauer,House,2014-05-15,house,20000987
Northwest Natural gas Company,equity,Earl Blumenauer,House,2014-08-15,house,20001572
Northwest Natural gas Company,equity,Earl Blumenauer,House,2014-11-14,house,20002073
"Merck & Company, Inc. Common stock",equity,John A. Boehner,House,2014-02-07,house,20000404
Mobile County ala Brd sch Commrscap,equity,Mo Brooks,House,2014-04-16,house,20000606
aRLINgToN WaREhoUSE,equity,Susan W. Brooks,House,2014-04-17,house,20000780
"aLEXaR THERaPEUTICS, INC.",equity,Susan W. Brooks,House,2014-06-18,house,20001428
"aLEXaR THERaPEUTICS, INC.",equity,Susan W. Brooks,House,2013-11-25,house,20001428
California St Public 5.0% 04/01/17,equity,Vern Buchanan,House,2014-11-10,house,20002180
California St Public 5.0% 06/01/19,equity,Vern Buchanan,House,2014-11-17,house,20002180
California St Public 5.0% 11/01/22,equity,Vern Buchanan,House,2014-11-24,house,20002180
Charleston SC Eductn 5.0% 12/01/19,equity,Vern Buchanan,House,2014-11-03,house,20002180
Citizens Property Insu 5.0% 06/01/16,equity,Vern Buchanan,House,2014-11-17,house,20002180
Citizens Property Insu 5.0% 06/01/21,equity,Vern Buchanan,House,2014-11-19,house,20002180
georgia St Rd & Twy au 5.0% 06/01/18,equity,Vern Buchanan,House,2014-11-13,house,20002180
Illinois St Unemploy 5.0% 6/15/17,equity,Vern Buchanan,House,2014-11-25,house,20002180
Kentucky asset / Liab 5.25% 9/01/19,equity,Vern Buchanan,House,2014-11-17,house,20002180
Lafayette La Utiliti 5.25% 11/01/18,equity,Vern Buchanan,House,2014-11-01,house,20002180
Los angeles Ca Unif 5.0% 07/01/21,equity,Vern Buchanan,House,2014-11-03,house,20002180
N Fort Bend TX Wtr a 5.25% 12/15/19,equity,Vern Buchanan,House,2014-11-07,house,20002180
N TX Tollway auth RE 5.0% 01/01/20,equity,Vern Buchanan,House,2014-11-20,house,20002180
Nevada St Unemployme 5.0% 06/01/18,equity,Vern Buchanan,House,2014-11-17,house,20002180
ohio St Hgr Eductnl Fa 5.0% 01/01/26,equity,Vern Buchanan,House,2014-11-07,house,20002180
San Jose Calif arpt 4.0% 03/01/16,equity,Vern Buchanan,House,2014-11-14,house,20002180
